transaction,customer,credit_card_type,credit_card,product,ip_address,amount,date
290,290,americanexpress,374288045255469,Bread - Ciabatta Buns,19.111.152.237,407.17,2020-03-19
291,291,mastercard,5100176276738719,Milk - 2%,116.52.159.173,33.12,2020-04-05
292,292,jcb,3583867724193348,Flour - Bread,117.127.240.63,424.45,2020-04-08
293,293,mastercard,5100149584058963,The Pop Shoppe - Black Cherry,41.48.224.244,233.16,2020-08-06
294,294,laser,6709491813403617683,Puree - Strawberry,33.253.80.214,876.12,2020-04-26
295,295,diners-club-enroute,201406190806758,Canadian Emmenthal,219.66.146.139,954.20,2020-05-09
296,296,jcb,3540140062387225,Taro Root,186.252.86.14,930.84,2020-02-04
297,297,visa-electron,4913961790883236,"Crab - Dungeness, Whole",121.252.0.98,134.46,2019-12-28
298,298,jcb,3529055169956497,Nantucket Pine Orangebanana,15.114.8.253,81.50,2020-10-23
299,299,visa-electron,4913903783095238,Salmon - Canned,7.186.220.49,981.76,2020-05-26
300,300,jcb,3568637459095110,Sardines,90.176.96.236,155.15,2020-09-05
301,301,mastercard,5307800661907479,Mountain Dew,48.175.154.36,696.49,2020-10-19
302,302,americanexpress,372301737714750,"Soup - Knorr, Classic Can. Chili",162.220.192.124,941.73,2020-03-01
303,303,jcb,3570622844091459,Arrowroot,208.240.103.162,44.22,2020-07-10
304,304,maestro,5038206545701714,Spinach - Spinach Leaf,190.18.168.125,638.54,2020-05-08
305,305,diners-club-enroute,201620412301345,"Lamb - Whole, Frozen",143.218.108.235,371.96,2020-07-18
306,306,mastercard,5010126983533720,"Lid - Translucent, 3.5 And 6 Oz",207.79.54.134,859.12,2020-08-29
307,307,americanexpress,374288680227120,Chivas Regal - 12 Year Old,87.21.45.58,941.19,2020-01-31
308,308,bankcard,5602241877201492,Paper Towel Touchless,78.130.87.49,753.21,2020-06-30
309,309,jcb,3571624622869469,Cookies Oatmeal Raisin,113.101.228.206,387.62,2020-02-18
310,310,diners-club-enroute,201948423684767,Beef - Inside Round,5.105.226.134,231.45,2020-01-18
311,311,diners-club-enroute,201713472025043,"Pasta - Rotini, Dry",98.176.182.101,454.47,2020-07-21
312,312,switch,490549536617752765,Cucumber - Pickling Ontario,125.137.165.150,174.10,2020-11-07
313,313,jcb,3532887259806835,"Lemonade - Mandarin, 591 Ml",228.232.183.28,34.82,2020-10-21
314,314,switch,490539098140863728,Smoked Tongue,39.83.90.32,195.17,2019-12-25
315,315,maestro,675934237993421393,Extract - Almond,99.43.171.62,439.65,2020-03-30
316,316,jcb,3553703133809909,Puff Pastry - Sheets,114.220.182.50,686.41,2020-07-01
317,317,jcb,3568894235750613,Bread - English Muffin,192.218.52.85,528.01,2020-11-05
318,318,visa-electron,4405670428492162,Huck Towels White,55.207.232.46,61.52,2020-10-13
319,319,switch,633110336165828693,Table Cloth 62x114 Colour,90.128.151.134,287.82,2019-12-23
320,320,visa,4017959477350078,"Wine - Red, Colio Cabernet",26.28.247.69,533.92,2020-08-16
321,321,mastercard,5465301496065425,Cookies - Amaretto,222.116.102.106,80.58,2020-03-13
322,322,jcb,3530620037001599,Anchovy Paste - 56 G Tube,157.94.28.64,95.21,2020-11-06
323,323,bankcard,5602230917949343,"Mushrooms - Black, Dried",133.133.106.107,783.16,2020-10-05
324,324,jcb,3574064582384844,Food Colouring - Pink,120.95.89.69,166.70,2020-07-10
325,325,jcb,3558728044072318,Salt And Pepper Mix - Black,168.141.153.162,444.82,2020-06-30
326,326,jcb,3553150811317013,"Nut - Cashews, Whole, Raw",215.19.155.79,515.15,2020-11-05
327,327,jcb,3568289087768286,Steampan - Lid For Half Size,49.32.23.116,694.95,2020-10-05
328,328,mastercard,5002350619972504,"Cod - Salted, Boneless",18.147.68.94,188.97,2020-09-29
329,329,jcb,3532008659467082,Maintenance Removal Charge,249.87.60.179,993.45,2020-08-15
330,330,jcb,3583981802127894,Wasabi Paste,146.11.3.195,559.45,2020-02-19
331,331,jcb,3552290695318108,Sponge Cake Mix - Vanilla,1.207.158.161,807.97,2020-06-04
332,332,laser,67069643237918846,Ecolab Silver Fusion,227.215.191.184,220.94,2020-03-30
333,333,china-unionpay,56022129622017773,Caviar - Salmon,218.160.150.209,850.03,2020-06-24
334,334,jcb,3555885194802622,"Soup - Campbells, Classic Chix",12.129.200.145,106.84,2019-12-27
335,335,americanexpress,337941343734686,Cheese - Swiss,205.2.62.72,865.17,2020-02-20
336,336,diners-club-enroute,201797396020552,Turkey Tenderloin Frozen,68.33.1.84,605.32,2020-04-11
337,337,china-unionpay,56022137748865314,Dates,118.164.75.2,826.60,2020-01-05
338,338,jcb,3558330367400612,Wine - Remy Pannier Rose,68.245.206.211,297.31,2020-04-02
339,339,laser,6304733670896170,Glass Clear 7 Oz Xl,96.234.166.21,400.49,2019-12-28
340,340,bankcard,5602249186112227,"Rice Pilaf, Dry,package",156.149.57.110,321.93,2020-07-15
341,341,diners-club-enroute,201973233632079,Brandy - Bar,194.150.32.250,717.67,2020-07-12
342,342,diners-club-enroute,201934210166788,Vinegar - Red Wine,200.174.196.217,950.50,2020-02-18
343,343,jcb,3547013886114450,Sugar - Cubes,184.218.78.150,905.11,2020-01-27
344,344,bankcard,5610054849246200,Chocolate - Chips Compound,221.167.119.92,722.57,2020-09-25
345,345,switch,6333776323795205092,Chocolate - Unsweetened,107.174.125.14,155.71,2020-05-28
346,346,china-unionpay,56022385844635673,Tahini Paste,167.152.72.240,21.64,2020-07-26
347,347,jcb,3555174214722106,Napkin White - Starched,203.190.98.8,678.65,2020-07-06
348,348,diners-club-us-ca,5451809541344096,Chevril,169.141.115.35,844.62,2020-06-30
349,349,jcb,3528354670595923,Corn - On The Cob,147.152.132.165,968.79,2020-10-02
350,350,jcb,3567842150345431,Cookies - Assorted,215.5.220.37,814.58,2020-08-11
351,351,americanexpress,374622468442586,Wine - Winzer Krems Gruner,34.53.62.134,96.10,2020-09-10
352,352,visa-electron,4917520055525654,Tobasco Sauce,180.63.126.148,344.44,2020-10-13
353,353,jcb,3539569799238173,Tomatoes - Cherry,61.51.35.43,833.26,2020-05-23
354,354,americanexpress,374288942819789,"Bread - Roll, Soft White Round",30.253.12.103,249.89,2020-01-13
355,355,jcb,3540073275360038,Wine - Cousino Macul Antiguas,97.121.144.135,900.04,2020-10-20
356,356,jcb,3538258984521244,Honey - Liquid,218.35.137.72,453.54,2020-06-25
357,357,mastercard,5100179976834762,Milk - Condensed,185.148.207.61,15.92,2020-09-30
358,358,switch,675975155429198346,Lettuce - California Mix,253.122.51.235,921.69,2020-03-25
359,359,jcb,3561255274726608,Five Alive Citrus,253.55.10.192,349.40,2019-12-23
360,360,mastercard,5403424285983296,Milk - 2%,235.136.230.209,358.50,2020-04-10
361,361,americanexpress,372301810929549,Pastry - Baked Cinnamon Stick,135.94.7.177,901.04,2020-08-19
362,362,solo,6767210353860585493,"Red Snapper - Fillet, Skin On",153.221.4.45,369.97,2020-06-14
363,363,jcb,3584193547869199,"Juice - Grapefruit, 341 Ml",69.147.140.246,205.06,2020-08-24
364,364,visa,4151269779881903,Muffin - Zero Transfat,194.144.171.160,217.44,2020-09-03
365,365,jcb,3580737931303720,"Club Soda - Schweppes, 355 Ml",124.203.47.52,75.22,2020-09-05
366,366,mastercard,5100179333133858,Squash - Pepper,124.54.125.105,786.45,2020-07-02
367,367,jcb,3584154844663867,Apple - Fuji,1.39.118.33,430.72,2020-03-14
368,368,mastercard,5502445352695943,Oil - Macadamia,58.228.31.227,810.60,2020-08-12
369,369,jcb,3545692055051817,Pastry - Lemon Danish - Mini,119.195.73.93,235.31,2020-07-23
370,370,jcb,3545318599296177,Island Oasis - Ice Cream Mix,201.14.95.150,189.54,2019-12-19
371,371,jcb,3566201271677738,Wood Chips - Regular,145.5.170.47,620.79,2020-03-17
372,372,jcb,3578311620576246,Sauce - Sesame Thai Dressing,63.125.253.175,372.76,2019-11-26
373,373,bankcard,5602228102651039,Wine - Acient Coast Caberne,116.86.239.73,724.88,2020-03-26
374,374,jcb,3581224478338756,Bandage - Flexible Neon,236.100.251.9,582.82,2020-02-20
375,375,diners-club-carte-blanche,30091220771888,Langers - Mango Nectar,145.124.250.147,694.06,2019-11-30
376,376,jcb,3543634980866036,Schnappes Peppermint - Walker,70.207.138.121,761.42,2019-11-19
377,377,visa-electron,4175000889981024,Scallops - U - 10,161.106.188.89,853.07,2020-05-16
378,378,jcb,3559387482343134,"Water - Mineral, Carbonated",91.99.42.85,135.40,2020-04-22
379,379,jcb,3576503031518005,Mortadella,69.198.132.227,320.64,2020-03-22
380,380,jcb,3581024093291244,Plastic Wrap,204.122.237.175,263.85,2020-06-26
381,381,switch,633110980215102318,Pork - Hock And Feet Attached,48.239.189.250,606.47,2020-09-11
382,382,mastercard,5100176939739344,Puree - Guava,126.6.78.179,565.76,2020-06-07
383,383,jcb,3569805104779680,"Tea - Darjeeling, Azzura",180.78.220.110,324.17,2020-01-19
384,384,jcb,3584703424892856,Garbage Bag - Clear,112.51.19.71,253.64,2020-01-14
385,385,jcb,3582016667769455,"Rum - Light, Captain Morgan",176.74.69.240,546.47,2020-08-18
386,386,jcb,3530568682526396,"Coffee - Beans, Whole",73.214.157.113,846.61,2020-01-16
387,387,mastercard,5129045251730776,Trout Rainbow Whole,197.81.195.145,870.98,2020-11-03
388,388,americanexpress,374288312630238,Sunflower Seed Raw,229.172.32.39,461.04,2020-06-22
389,389,maestro,5893107322371594345,Wakami Seaweed,29.127.42.156,451.94,2020-08-04
390,390,jcb,3551578168118760,Pork Loin Bine - In Frenched,202.121.65.120,257.45,2019-12-11
391,391,americanexpress,375435780085069,Creme De Menth - White,96.114.106.39,604.92,2020-08-03
392,392,solo,633447555233082074,Flour - Teff,138.103.239.167,890.86,2019-12-30
393,393,jcb,3538090548844691,Gatorade - Xfactor Berry,205.63.190.14,437.36,2020-09-14
394,394,instapayment,6371571675043564,Cassis,202.112.50.227,99.51,2020-03-20
395,395,jcb,3585545540185585,Pork - Shoulder,219.12.88.6,496.47,2019-12-01
396,396,jcb,3529860383018374,"Arctic Char - Fresh, Whole",139.58.91.245,672.09,2019-12-12
397,397,mastercard,5100140781845625,Chocolate Bar - Oh Henry,37.21.75.105,434.55,2020-09-01
398,398,laser,6709208228093549050,Lettuce - Romaine,87.254.131.89,606.64,2020-06-14
399,399,solo,6334630537730256266,Clams - Canned,185.188.71.111,301.25,2019-11-26
400,400,diners-club-carte-blanche,30375712123363,Wine - Malbec Trapiche Reserve,201.1.151.93,436.81,2020-04-03
401,401,solo,6334762071612567,V8 Pet,182.170.181.201,434.13,2020-01-28
402,402,jcb,3570460655133262,Honey - Comb,1.73.58.72,365.53,2019-12-07
403,403,laser,6771918832280333920,Hipnotiq Liquor,218.48.200.245,668.64,2020-04-30
404,404,mastercard,5100136535007686,Juice - Happy Planet,36.118.197.98,535.53,2020-03-04
405,405,diners-club-enroute,201519893032074,Bread - Ciabatta Buns,119.72.158.37,632.80,2020-06-30
406,406,jcb,3586378156756914,Capon - Whole,202.204.5.223,360.17,2020-02-15
407,407,diners-club-carte-blanche,30301549097810,Milk - Homo,198.179.140.83,516.81,2019-12-14
408,408,jcb,3547068387758023,Dc Hikiage Hira Huba,245.1.213.28,730.42,2020-03-28
409,409,maestro,6759823481631534,Loquat,221.73.32.106,986.88,2020-08-30
410,410,bankcard,5602213183779180,Wine - Baron De Rothschild,162.28.221.232,648.72,2020-07-11
411,411,diners-club-carte-blanche,30336468044237,Lychee - Canned,12.107.130.32,189.28,2020-07-03
412,412,diners-club-enroute,201663744561178,Foil - 4oz Custard Cup,47.134.190.5,356.83,2020-03-08
413,413,jcb,3575112922990256,Sour Puss Raspberry,131.224.49.184,820.70,2020-10-23
414,414,instapayment,6396683141416364,Truffle Cups - Brown,64.27.248.117,822.34,2020-05-05
415,415,maestro,67623096404470688,Soup Campbells - Tomato Bisque,245.203.137.179,596.93,2020-04-29
416,416,jcb,3559971781089272,Slt - Individual Portions,116.89.148.71,65.98,2019-12-09
417,417,jcb,3572247635011611,"Club Soda - Schweppes, 355 Ml",202.206.241.128,765.32,2020-01-24
418,418,visa,4849581009411881,Coffee - Flavoured,195.11.7.81,250.00,2020-11-12
419,419,diners-club-carte-blanche,30492031964631,Flower - Commercial Bronze,8.255.46.105,536.17,2019-11-16
420,420,jcb,3571769564243627,Wine - Pinot Noir Pond Haddock,187.196.239.22,26.41,2020-02-04
421,421,jcb,3548195495310881,Cod - Fillets,245.183.121.26,536.22,2020-04-22
422,422,jcb,3530448679043822,Flour - Strong Pizza,193.31.213.27,645.86,2020-01-30
423,423,americanexpress,372301135677443,Beef - Top Sirloin - Aaa,138.199.97.103,707.21,2019-12-24
424,424,diners-club-enroute,201904562021295,Veal - Ground,164.145.127.17,802.50,2020-01-16
425,425,jcb,3537932364248237,"Napkin - Cocktail,beige 2 - Ply",97.37.82.99,417.77,2020-08-08
426,426,visa-electron,4913974026219174,Chutney Sauce - Mango,210.139.26.46,331.95,2020-10-06
427,427,americanexpress,337941237276455,Potatoes - Pei 10 Oz,190.91.133.78,669.69,2020-01-04
428,428,visa-electron,4917691519450449,Pepper - Gypsy Pepper,191.245.125.248,865.30,2020-06-26
429,429,jcb,3557548717263783,Rice Wine - Aji Mirin,62.7.247.119,760.39,2020-10-23
430,100,laser,6706606999936220034,Lettuce - Sea / Sea Asparagus,74.48.130.25,614.60,2020-04-29
431,431,mastercard,5394164683574658,Pears - Bartlett,28.213.249.176,891.54,2020-03-26
432,432,jcb,3533933141675969,"Basil - Primerba, Paste",236.86.146.186,464.92,2020-10-12
433,433,mastercard,5100139651271698,Tomatoes - Orange,199.4.215.104,700.30,2020-06-10
434,434,jcb,3576153952183718,Coffee Caramel Biscotti,211.128.79.249,431.31,2020-05-30
435,435,diners-club-enroute,201741849491549,"Chilli Paste, Hot Sambal Oelek",45.221.236.46,400.19,2020-05-06
436,436,instapayment,6371584639122911,Bagel - 12 Grain Preslice,7.203.224.125,269.24,2020-08-03
437,437,jcb,3543987614151070,Beer - Original Organic Lager,88.56.52.70,371.20,2020-04-12
438,100,solo,633441267265174193,Cabbage Roll,188.40.4.174,137.85,2020-01-18
439,439,switch,4903749157015969,Rice - 7 Grain Blend,23.131.215.195,31.91,2020-01-02
440,440,jcb,3574584010138900,Bread Foccacia Whole,91.6.48.159,773.06,2019-11-25
441,441,visa,4041378353908,Tea - Herbal Orange Spice,67.141.225.126,710.37,2020-06-20
442,442,switch,633316729164946221,"Pepper - Paprika, Hungarian",14.107.42.225,341.79,2020-07-11
443,443,visa-electron,4913817620414040,Bagel - Everything,225.33.90.81,200.54,2020-05-25
444,444,jcb,3560884901459944,Slt - Individual Portions,215.18.203.194,210.28,2019-11-21
445,445,jcb,3553401725072099,Lychee - Canned,41.125.47.215,698.67,2020-03-22
446,446,jcb,3585542469257875,Juice - V8 Splash,134.137.91.132,52.77,2020-05-10
447,447,diners-club-enroute,201533839053755,"Lamb - Pieces, Diced",217.113.112.121,160.04,2020-10-26
448,448,jcb,3587664396200246,Chocolate - Milk,183.16.150.248,740.11,2020-06-04
449,11,laser,6304474884440506040,"Lobster - Tail, 3 - 4 Oz",26.37.147.135,716.33,2020-07-06
450,450,jcb,3571312677275903,"Wine - Bourgogne 2002, La",170.12.95.182,457.52,2020-11-01
451,451,diners-club-international,36144467276048,"Nut - Hazelnut, Ground, Natural",160.23.12.128,843.70,2019-12-21
452,452,jcb,3573365572586137,Yoplait Drink,3.158.29.6,932.20,2020-01-07
453,453,jcb,3538258705743457,Truffle - Whole Black Peeled,217.220.177.218,760.23,2020-03-07
454,454,jcb,3547143057784979,Foil - 4oz Custard Cup,188.153.74.68,881.47,2020-11-06
455,455,jcb,3585664857981781,Tea - Lemon Scented,160.1.11.23,425.04,2020-11-12
456,456,maestro,6761350150926379520,Appetizer - Veg Assortment,144.33.230.141,227.21,2020-03-02
457,457,instapayment,6384372529872562,Beef - Kobe Striploin,101.177.138.174,791.04,2020-11-08
458,458,maestro,6304695680920680,Cheese - Comtomme,240.152.14.183,190.54,2020-06-22
459,459,diners-club-enroute,201595400548802,Radish,198.233.57.213,632.35,2020-09-09
460,460,diners-club-international,36312938197172,Mace,154.184.212.238,875.23,2020-10-02
461,461,jcb,3585173008870653,"Wine - Red, Gallo, Merlot",3.3.114.193,436.50,2020-02-14
462,462,maestro,5020560046552962,"Juice - Grape, White",240.169.63.253,304.33,2020-06-10
463,463,jcb,3572244080738145,"Pail - 4l White, With Handle",56.116.173.17,314.55,2020-10-22
464,464,jcb,3550010752908803,"Tart Shells - Savory, 3",223.141.212.139,329.87,2020-08-02
465,465,jcb,3550177138474311,Wine - Jaboulet Cotes Du Rhone,189.171.48.226,558.96,2019-11-21
466,466,jcb,3563460175528792,"Shrimp - 16/20, Iqf, Shell On",43.210.36.84,915.78,2020-08-31
467,467,jcb,3577420120594657,Coffee - Almond Amaretto,238.24.95.32,715.26,2020-02-07
468,468,mastercard,5569339360778215,Wine - Savigny - Les - Beaune,171.199.140.180,419.27,2020-02-29
469,469,jcb,3579968957380812,Beans - French,129.180.83.162,633.16,2020-03-29
470,470,jcb,3546548060869776,"Rum - Dark, Bacardi, Black",187.48.15.60,501.03,2020-01-09
471,471,laser,6706596870960743880,"Wine - Cahors Ac 2000, Clos",131.212.172.10,360.32,2020-08-09
472,472,americanexpress,372301832878005,Oranges,13.187.70.49,496.56,2020-09-09
473,473,jcb,3532179532322388,"Lobster - Baby, Boiled",134.132.156.180,517.78,2020-08-24
474,474,solo,6334683474229579659,Glass - Juice Clear 5oz 55005,174.59.59.142,945.65,2020-02-07
475,475,jcb,3587754562422714,Beer - Upper Canada Lager,51.139.221.68,213.81,2020-06-17
476,476,laser,677166487079396341,Ice Cream Bar - Oreo Cone,71.67.30.32,417.28,2020-08-11
477,477,switch,6331105215056022537,Huck Towels White,94.0.83.61,633.84,2020-10-03
478,478,jcb,3575081057086935,Rabbit - Frozen,95.113.114.182,153.02,2020-05-17
479,479,jcb,3560207428048497,"Rum - White, Gg White",188.224.75.205,426.84,2020-08-26
480,480,jcb,3582490533492842,Wine - Carmenere Casillero Del,207.210.162.135,803.33,2020-01-05
481,481,jcb,3537384297502787,Tomatoes,189.224.253.177,909.16,2020-10-22
482,482,mastercard,5137745480977524,Blueberries - Frozen,250.94.88.107,675.06,2020-05-24
483,483,americanexpress,337941433257689,Potatoes - Idaho 100 Count,238.61.167.78,867.29,2020-08-09
484,484,diners-club-carte-blanche,30386951979738,Muffin Chocolate Individual Wrap,172.76.7.116,925.62,2020-05-10
485,485,diners-club-us-ca,5469005358261537,Potatoes - Peeled,181.97.95.162,643.42,2020-02-01
486,486,mastercard,5100149631320705,Hold Up Tool Storage Rack,194.232.195.151,591.82,2020-10-09
487,487,jcb,3536638954095323,"Beef - Tongue, Fresh",216.112.224.41,614.03,2019-12-19
488,488,diners-club-international,36756766393859,Bread Foccacia Whole,132.186.116.144,271.19,2020-05-24
489,489,jcb,3554792196020438,Coffee - Espresso,139.238.49.188,219.58,2020-08-02
490,490,jcb,3567544315987186,Sauce - Marinara,135.215.51.51,368.75,2020-03-14
491,491,mastercard,5002354434482152,Beer - Fruli,226.205.11.205,474.38,2020-04-24
492,492,jcb,3560288410860024,"Cheese - Manchego, Spanish",176.68.21.177,887.21,2020-11-11
493,493,jcb,3540287153506898,Nori Sea Weed - Gold Label,240.3.156.246,348.98,2019-12-09
494,494,china-unionpay,56022114867396017,Wine - Shiraz Wolf Blass Premium,65.135.231.125,103.15,2020-02-07
495,495,diners-club-us-ca,5587558417635338,Vinegar - Tarragon,92.42.0.241,851.34,2020-08-10
496,496,bankcard,5602251133762088,"Ranchero - Primerba, Paste",87.162.5.115,257.19,2020-04-14
497,497,maestro,6759919681429286141,"Trout - Rainbow, Fresh",93.207.58.64,465.62,2020-07-09
498,498,jcb,3578873824114611,Hold Up Tool Storage Rack,185.185.7.149,234.71,2020-02-17
499,499,maestro,50209036809970674,Bread - Sour Sticks With Onion,211.148.36.220,896.03,2020-07-03
500,500,jcb,3539590615095613,Pie Shell - 5,106.89.66.234,287.96,2019-11-30
501,501,visa,4763229961529538,Carbonated Water - Cherry,109.93.10.68,912.56,2020-08-03
502,502,jcb,3584557885256393,"Wine - Mas Chicet Rose, Vintage",74.82.7.141,604.91,2019-12-01
503,503,mastercard,5108750035987395,Urban Zen Drinks,66.175.140.90,397.14,2020-05-30
504,504,jcb,3564538919837709,Veal - Inside,121.199.75.251,803.35,2020-03-31
505,505,jcb,3552781888774453,Cake - Cake Sheet Macaroon,169.92.39.96,940.51,2020-10-09
506,506,jcb,3559231133141671,"Tomatoes - Plum, Canned",164.29.28.127,328.98,2020-06-04
507,507,jcb,3538061676353904,"Soup - Campbells, Lentil",60.16.76.87,394.46,2020-03-11
508,508,laser,670675207021625897,Chicken - White Meat With Tender,247.169.5.255,429.58,2020-10-19
509,509,maestro,502010744434212003,Tea - Decaf 1 Cup,202.171.152.86,131.79,2020-02-28
510,510,visa-electron,4917292125726999,Mushroom - White Button,14.120.81.75,973.02,2020-09-25
511,511,visa-electron,4175004842156823,Lettuce - Curly Endive,80.117.143.203,54.96,2020-02-17
512,512,switch,6331101594727744032,"Bag - Bread, White, Plain",196.218.126.9,401.68,2020-01-20
513,513,visa,4017953124071930,Veal - Heart,106.117.114.200,229.74,2020-06-30
514,514,jcb,3576518934525485,Dooleys Toffee,17.162.199.250,179.89,2020-06-23
515,515,americanexpress,337941117078260,"Wine - White, Pelee Island",65.53.64.132,422.83,2020-01-10
516,516,jcb,3583874481186176,Table Cloth 53x53 White,170.48.35.213,990.50,2020-06-14
517,517,maestro,5038971314304428688,Gelatine Leaves - Bulk,145.117.195.105,448.22,2020-07-16
518,518,americanexpress,343543121611730,"Shrimp - 16 - 20 Cooked, Peeled",197.199.45.176,958.08,2020-05-18
519,519,switch,6759525954945071024,Cheese - Gorgonzola,119.30.78.109,480.20,2019-12-07
520,520,jcb,3529115160955078,Ice Cream Bar - Hagen Daz,66.144.26.206,661.84,2020-06-01
521,521,diners-club-carte-blanche,30478166170482,Salmon - Fillets,217.156.107.217,922.31,2020-05-16
522,522,americanexpress,372035316519806,Melon - Cantaloupe,223.14.97.28,661.48,2020-06-30
523,523,jcb,3573062657258555,Carbonated Water - Cherry,179.4.182.143,827.30,2020-10-07
524,524,diners-club-carte-blanche,30135867800656,"Tray - Foam, Square 4 - S",176.244.227.56,633.93,2020-09-09
525,525,instapayment,6378076975683468,Cattail Hearts,128.158.203.219,224.86,2019-12-02
526,526,mastercard,5010125381303405,Sauce - Fish 25 Ozf Bottle,110.200.252.204,433.45,2019-12-03
527,527,jcb,3579575829906086,Scallops - In Shell,247.150.87.47,570.58,2020-03-05
528,528,china-unionpay,5602257215110948,Hog / Sausage Casing - Pork,211.43.210.39,49.72,2019-11-20
529,529,china-unionpay,5602228487291203,"Lemonade - Strawberry, 591 Ml",226.234.8.194,346.77,2019-11-24
530,530,jcb,3537166647845150,Bouillion - Fish,154.74.62.202,418.78,2020-01-23
531,531,jcb,3586469282733016,"Chicken - Diced, Cooked",50.74.211.11,356.76,2020-03-02
532,532,jcb,3554922537419847,Table Cloth 54x54 Colour,125.84.246.46,515.79,2020-08-04
533,533,bankcard,5602254860101439,Petite Baguette,179.58.218.210,768.59,2020-02-07
534,534,jcb,3528533355167245,"Wine - White, Pinot Grigio",161.47.189.102,798.92,2020-02-23
535,535,jcb,3581503781418821,"Beef - Chuck, Boneless",238.162.40.17,375.42,2020-10-30
536,536,jcb,3529435971434224,Hipnotiq Liquor,63.179.118.106,712.77,2019-12-29
537,537,switch,4903927508925579032,Tomatillo,179.189.114.10,393.73,2020-08-08
538,538,visa-electron,4508103103891249,Buttons,248.174.182.195,940.51,2020-07-06
539,539,mastercard,5048375233468809,Muffin - Zero Transfat,254.11.16.223,811.26,2020-06-11
540,540,laser,6709781901608330647,Turnip - Mini,160.101.99.92,508.31,2020-04-08
541,541,jcb,3584661318752299,Apple - Macintosh,59.172.2.196,651.57,2020-02-02
542,542,switch,6331100203218677,Plastic Arrow Stir Stick,68.75.188.33,71.27,2019-12-16
543,543,switch,4905387223752063633,Temperature Recording Station,111.67.100.123,221.58,2020-11-08
544,544,china-unionpay,5602225862407417112,Sausage - Andouille,180.98.21.197,538.70,2020-08-04
545,545,jcb,3557026441492895,Yeast Dry - Fermipan,73.55.247.54,374.97,2020-09-07
546,546,mastercard,5595708025616101,"Beets - Candy Cane, Organic",146.56.10.156,488.91,2020-07-22
547,547,diners-club-enroute,201736598557680,Pastry - Raisin Muffin - Mini,167.17.46.200,200.02,2020-02-18
548,548,americanexpress,372301236222578,Fenngreek Seed,151.82.121.3,224.42,2020-03-16
549,549,americanexpress,374288520028019,Glass Clear 8 Oz,184.53.246.138,605.23,2020-03-11
550,550,jcb,3535472034593946,Crackers - Water,16.59.122.199,316.13,2020-04-21
551,551,mastercard,5516057739216295,"Basil - Dry, Rubbed",71.246.64.119,268.12,2020-11-03
552,552,jcb,3535498730863374,Oneshot Automatic Soap System,231.29.218.84,983.83,2020-07-17
553,553,maestro,5893642425353044247,"Juice - Orange, 341 Ml",218.249.196.46,98.65,2020-09-25
554,554,jcb,3558885207475934,Pate Pans Yellow,157.177.28.66,821.48,2020-01-01
555,555,switch,493642248617134628,Wild Boar - Tenderloin,219.171.53.117,681.43,2020-04-10
556,556,jcb,3573591876150904,Salmon Atl.whole 8 - 10 Lb,220.15.80.197,962.76,2019-12-21
557,557,jcb,3562419587621562,"Sauce - Bernaise, Mix",123.231.45.134,921.95,2020-02-14
558,558,mastercard,5431299585709476,Pears - Anjou,107.12.103.240,383.70,2020-06-28
559,559,visa-electron,4175004868490932,Wine - Stoneliegh Sauvignon,231.120.161.101,628.06,2020-05-07
560,560,jcb,3549686032231795,"Shrimp - 16/20, Peeled Deviened",228.34.54.39,260.67,2020-08-24
561,561,jcb,3584084397120405,Beer - Pilsner Urquell,195.97.29.112,593.36,2020-03-24
562,562,visa-electron,4175007845037866,Mayonnaise - Individual Pkg,24.19.115.91,474.13,2020-05-06
563,563,maestro,6759940403847134198,"Artichoke - Hearts, Canned",109.105.12.2,825.61,2019-12-31
564,564,laser,670938455629399638,Teriyaki Sauce,201.39.168.198,325.41,2020-04-22
565,565,jcb,3556082548895200,Plasticforkblack,157.131.39.73,421.84,2020-06-13
566,566,maestro,5038119139566783,Jolt Cola,105.47.215.47,582.20,2020-07-14
567,567,visa,4041376221412,"Juice - Tomato, 48 Oz",72.180.187.2,21.83,2020-03-26
568,568,switch,4936149048238594115,Soup Campbells,219.193.31.38,671.33,2020-11-04
569,569,jcb,3548737825038227,Coriander - Ground,181.50.102.26,482.44,2019-12-08
570,570,bankcard,5602239604307640,Veal - Sweetbread,207.212.31.253,185.85,2020-11-10
571,571,diners-club-carte-blanche,30015886262858,"Tart Shells - Savory, 3",242.99.174.208,954.22,2020-01-14
572,572,jcb,3559461514507626,Wine - Wyndham Estate Bin 777,193.24.252.189,761.29,2019-12-29
573,573,instapayment,6390633908274536,Spice - Paprika,127.189.10.152,805.01,2020-01-09
574,574,jcb,3534460435918086,Coffee - Dark Roast,235.214.57.63,777.30,2020-01-15
575,575,diners-club-carte-blanche,30164270691866,"Pork - Butt, Boneless",89.1.237.173,789.18,2020-07-27
576,576,jcb,3553709078443489,Soup - Boston Clam Chowder,134.198.45.62,507.31,2019-12-27
577,577,jcb,3581923522595663,Tea - Decaf Lipton,173.215.175.217,388.53,2020-02-24
578,578,jcb,3588546882519040,Stock - Fish,10.88.243.162,340.32,2020-06-22
579,579,china-unionpay,560225843201664963,"Lamb - Whole, Fresh",102.164.165.92,306.10,2020-01-21
580,580,jcb,3542821937143228,"Oil - Food, Lacquer Spray",82.254.9.129,187.84,2020-06-03
